tags:日语专八 慣用語
青息吐息	あおいきといき	长吁短叹
青田買い	あおたがい	提前录用即将毕业的学生
青菜に塩	あおなにしお	垂头丧气
赤字	あかじ	赤字
胡坐をかく	あぐらをかく	盘腿坐；放松警惕
足元から雉が立つ	あしもとからきじがたつ	突如其来
後の祭り	あとのまつり	马后炮
後は野となれ山となれ	あとはのとなれやまとなれ	后只图眼前好
油を売る	あぶらをうる	磨蹭
油を搾る	あぶらをしぼる	严厉训斥
泡を食う	あわをくう	惊慌失措
石橋を叩いて渡る	いしばしをたたいてわたる	小心翼翼
一事が万事	いちじがばんじ	举一反三
一矢を報いる	いっしをむくいる	牙眦必报
一線を画す	いっせんをかくす	划清界限
言わぬが花	いわぬがはな	沉默是金
因果を含める	いんがをふくめる	说明原委（使人放弃）
魚心あれば水心	うおごころあればみずごころ	你要有心我有意
嘘も方便	うそもほうべん	说谎有时也是权宜之计
鵜の目鷹の目	うのめたかのめ	虎视眈眈
馬の耳に念仏	うまのみみにねんぶつ	对牛弹琴
瓜の蔓に茄子はならぬ	うりのつるになすびはならぬ	龙生龙，凤生凤
瓜二つ	うりふたつ	长得一模一样
上前を撥ねる	うわまえをはねる	克扣
大風呂敷を広げる	おおぶろしきをひろげる	吹牛皮
奥歯に物が挟まる	おくばにものがはさまる	吞吞吐吐
お里が知れる	おさとがしれる	露出马脚
お茶を濁す	おちゃをにごす	含糊其辞
蛙の面に水	かえるのつらにみず	满不在乎
固唾を吞む	かたずをのむ	紧张屏息，提心吊胆
金に糸目を付けぬ	かねにいとめをつけぬ	花钱如流水
嚙んで含める	かんでふくめる	详细
黄色い声	きいろいこえ	（妇女、小孩儿的）尖叫声
気が置ける	きがおける	隔阂，不融洽
気で鼻を括る	きではなをくくる	爱答不理
気を吞まれる	きをのまれる	被吓倒
ぐうの音も出ない	ぐうのねもでない	一声不吭
釘をさす	くぎをさす	敲定
腐っても鯛	くさってもたい	瘦死的骆驼比马大
雲をつかむ	くもをつかむ	虚幻无实
苦しい時の神頼み	くるしい時の神頼み	临时抱佛脚
黒字	くろじ	盈余
黒幕	くろまく	黑幕
芸がない	げいがない	平庸
下駄を預ける	げたをあずける	把事情托给别人去解决
弘法筆を選ばず	こうぼうふでをえらばず	善书者不择笔
采配を振るう	さいはいをふるう	发挥，运用
匙を投げる	さじをなげる	无药可救
鯖を読む	さばをよむ	虚报数字
鎬を削る	しのぎをけずる	激烈竞争
十人十色	じゅうにんといろ	十个人十个样
食指が動く	しょくしがうごく	有食欲；垂涎；起贪心
尻馬に乗る	しりうまにのる	亦步亦趋
図に当たる	ずにあたる	正中下怀
図に乗る	ずにのる	得意忘形
図星を指す	ずぼしをさす	击中要害
隅に置けない	すみにおけない	不可轻视
堰を切る	せきをきる	洪水奔流；突然
備えあれば憂いなし	そなえあればうれいなし	有备无患
反りが合わない	そりがあわない	脾气不和
高が知れる	たかがしれる	没有什么了不起的
高嶺の花	たかねのはな	高不可攀
高みの見物	たかみのけんぶつ	袖手旁观
高を括る	たかをくくる	不屑一顾
棚に上げる	たなにあげる	束之高阁
鶴の一声	つるのひとこえ	大人一言，重于九鼎
手の平を返す	てのひらをかえす	翻脸不认人
灯台下暗し	とうだいもとくらし	当局者迷
飛ぶ鳥を落とす勢い	とぶとりをおとすいきおい	势不可挡
取り付く島もない	とりつくしまもない	无所适从
団栗の背比べ	どんぐりのせいくらべ	不相上下
長い物には巻かれろ	ながいものにはまかれろ	小胳膊扭不过大腿
梨の礫	なしのつぶて	杳无音信
七転び八起き	ななころびやおき	百折不挠
二階から目薬	にかいからめぐすり	远水救不了近火
二枚舌を使う	にまいじたをつかう	说话前后矛盾
濡れ衣を着せる	ぬれぎぬをきせる	受冤枉
寝耳に水	ねみみにみず	事出意外
根も葉もない	ねもはもない	毫无根据
拍車をかける	はくしゃをかける	加速；推动
人の噂も七十五日	ひとのうわさもしちじゅうごにち	流言一阵风，过后无踪影
人を食う	ひとをくう	目中无人
火のない所に煙は立たぬ	ひのないところにけむりはたたぬ	无风不起浪
瓢箪から駒	ひょうたんからこま	弄假成真
貧すれば鈍する	ひんすればどんする	人贫智短，马瘦毛长
下手の考え休むに似たり	したてのかんがえやすむににたり	笨人想不出好主意来
仏の顔も三度	ほとけのかおもさんど	容忍有限，事不过三
蒔かぬ種は生えぬ	まかぬたねははえぬ	不播种必无收获,不劳而无获
馬子にも衣裳	まごにもいしょう	人靠衣装马靠鞍
俎板の鯉	まないたのこい	俎上之鱼，静待他人宰割
脈がある	みゃくがある	有希望
虫が好かない	むしがすかない	打心底里讨厌
餅は餅屋	もちはもちや	无论做什么事还得靠行家
元の木阿弥	もとのもくあみ	前功尽弃
藪から棒	やぶからぼう	突然，出其不意
藪をつついて蛇を出す	やぶをつついてへびをだす	打草惊蛇
槍玉に挙げる	やりだまにあげる	把…当作责难（攻击）的对象
横槍を入れる	よこやりをいれる	横加干涉
立錐の地なし	りっすいのちなし	无立锥之地
両手に花	りょうてにはな	双喜临门
良薬は口に苦し	りょうやくはくちににがし	良药苦口利于病
論より証拠	ろんよりしょうこ	事实胜以雄辩
渡りに船	わたりにふね	久旱甘露
渡りをつける	わたりをつける	搭上关系；挂上钩
割りを食う	わりをくう	吃亏
